NAME,TOTALREV,TFEDREV,TSTREV,TLOCREV,tot_rev_per_s,fed_rev_per_s,st_rev_per_s,loc_rev_per_s,ENROLL,TOTALEXP,TCURINST,tot_spend_per_s,tot_inst_per_s,lat,lng,ave_school_enrol,ave_prcnt_wht,ave_prcnt_bk,ave_prcnt_hisp,ave_prcnt_asn,ave_prcnt_othr,free_lunch_eligible,not_eligible,total_count,percent_student_body_eligible_for_frl
Adams Township School District,4927,268,3442,1217,10.87637969,0.591611479,7.598233996,2.686534216,453,4600,2320,10.15452539,5.121412803999999,47.05523415,-88.65829815,223.0,98.0,0.5,0.5,0.0,1.0,87.0,106.0,228.0,53.5
Addison Community Schools,10189,1130,4035,5024,11.91695906,1.321637427,4.719298246,5.8760233920000005,855,9444,5452,11.04561404,6.376608187,41.9882544,-84.34341309999999,220.5,88.0,1.0,6.5,0.5,4.5,98.5,108.5,223.5,51.5
"Adrian, School District of the City of",37526,6400,21662,9464,12.66486669,2.159973,7.310833615,3.194060074,2963,35850,19725,12.09922376,6.657104286,41.89570634,-84.04982226,431.6,58.2,4.0,29.4,1.2,7.4,257.4,156.0,445.4,70.4
Airport Community Schools,27360,1257,18938,7165,11.07244031,0.508700931,7.664103602000001,2.899635775,2471,26644,14466,10.78267908,5.8543099960000005,42.04126472,-83.33854654,246.8,91.8,3.2,3.8,0.4,0.6,125.8,122.4,261.8,56.2
Akron-Fairgrove Schools,3993,296,1587,2110,14.15957447,1.04964539,5.627659574,7.482269504,282,5427,1777,19.24468085,6.30141844,43.556976399999996,-83.5299381,143.5,88.5,0.5,7.5,0.5,3.0,93.0,38.0,145.5,74.0
Alba Public Schools,1739,148,738,853,12.78676471,1.088235294,5.426470588,6.272058824,136,1576,841,11.58823529,6.183823529,44.977725899999996,-84.97002409999999,129.0,90.0,1.0,2.0,0.0,7.0,83.0,27.0,124.0,78.0
Alcona Community Schools,8100,281,1274,6545,11.06557377,0.38387978100000003,1.7404371580000002,8.941256831,732,7432,4633,10.15300546,6.329234972999999,44.65731165,-83.40420429999999,361.5,94.0,1.5,2.0,0.5,2.0,214.0,112.5,363.0,69.5
Algonac Community School District,19625,912,10106,8607,11.72341697,0.544802867,6.037037037,5.1415770610000004,1674,19107,10558,11.41397849,6.307048984,42.63062513,-82.55720427,539.6666667000001,97.33333333,0.666666667,1.0,0.0,1.0,194.33333330000002,275.6666667,504.0,47.66666667
Allegan Public Schools,28843,1369,18436,9038,11.31541781,0.537073362,7.232640251,3.545704198,2549,26788,14852,10.509219300000002,5.826598666000001,42.52649179,-85.85679820000001,363.2857143,87.14285714,2.142857143,6.0,0.7142857140000001,4.428571429,174.5714286,152.0,358.0,61.14285714
Allen Park Public Schools,41215,875,31043,9297,10.80907422,0.22947810100000002,8.14135851,2.438237608,3813,39755,24205,10.42617362,6.348019932000001,42.24552257,-83.2133512,628.1666667000001,83.0,2.333333333,12.5,0.5,2.0,203.0,403.5,636.6666667000001,41.66666667
Allendale Public Schools,31116,639,19636,10841,11.79977247,0.242320819,7.446340537999999,4.1111111110000005,2637,28949,15646,10.97800531,5.93325749,42.96316008,-85.9611354,637.5,84.0,1.5,10.0,1.0,3.75,153.0,466.5,654.0,29.0
